description	filename	checksum
washu-hnscc-transcriptomics	washu-hnscc-transcriptomics-HNSCC_NAT_RNA-Seq_Expr_WashU_FPKM.tsv.gz	f0c8d513564c332b5b121327292aaa74
washu-hnscc-transcriptomics	washu-hnscc-transcriptomics-HNSCC_tumor_RNA-Seq_Expr_WashU_FPKM.tsv.gz	3ffe6f6c7fc9e1d24b5ca00a8a00bb86
washu-hnscc-xcell	washu-hnscc-xcell-HNSCC_xCell.txt.gz	cacc94df9017f5a6b01a4b5828394d09
washu-lscc-cibersort	washu-lscc-cibersort-CIBERSORT.Output_Abs_LSCC.txt.gz	ac79bf98b241124fcfabb2d6b113fb59
washu-lscc-CNV	washu-lscc-CNV-LSCC.gene_level.from_seg.filtered.tsv.gz	ac7b8f81d1c2aee0b673ddd765d93d89
washu-lscc-mapping	washu-lscc-mapping-gencode.v22.annotation.gtf.gz	291330bdcff1094bc4d5645de35e0871
washu-lscc-mature_miRNA	washu-lscc-mature_miRNA-LSCC_mature_miRNA_combined.tsv.gz	9be5eb241127e9049a9d4c92f021a677
washu-lscc-precursor_miRNA	washu-lscc-precursor_miRNA-LSCC_precursor_miRNA_combined.tsv.gz	046f99b9e677f55d19306e0cdb44c5cf
washu-lscc-somatic_mutation	washu-lscc-somatic_mutation-LSCC_discovery.dnp.annotated.exonic.maf.gz	c1cc7c58333c04970d6e2e16f82b907e
washu-lscc-total_miRNA	washu-lscc-total_miRNA-LSCC_total_miRNA_combined.tsv.gz	3ea291a6e8ab747e74dc13209d583f13
washu-lscc-xcell	washu-lscc-xcell-LSCC_xCell.txt.gz	76cb2c32ad8eb3b32e5b271d3459d54b
washu-luad-cibersort	washu-luad-cibersort-CIBERSORT.Output_Abs_LUAD.txt.gz	255e997e012ae72f093d96651b8a33f3
washu-luad-CNV	washu-luad-CNV-LUAD.gene_level.from_seg.filtered.tsv.gz	c9633be4b9473b8ae38a73c8884447a8
washu-luad-mapping	washu-luad-mapping-gencode.v22.annotation.gtf.gz	291330bdcff1094bc4d5645de35e0871
washu-luad-mature_miRNA	washu-luad-mature_miRNA-LUAD_mature_miRNA_combined.tsv.gz	49a347b7721290a0e122841de773945f
washu-luad-precursor_miRNA	washu-luad-precursor_miRNA-LUAD_precursor_miRNA_combined.tsv.gz	96f15757e9388fe03fce6b9138757059
washu-luad-somatic_mutation	washu-luad-somatic_mutation-LUAD_discovery.dnp.annotated.exonic.maf.gz	2cf76404f08539b4205e3e3c75de5f2d
washu-luad-total_miRNA	washu-luad-total_miRNA-LUAD_total_miRNA_combined.tsv.gz	03aeb555a5a8a01f1bdb54122d62fcec
washu-luad-transcriptomics	washu-luad-transcriptomics-LUAD_NAT_RNA-Seq_Expr_WashU_FPKM.tsv.gz	25518b5fdcac8ffa70d69a0e4cfe73d6
washu-luad-transcriptomics	washu-luad-transcriptomics-LUAD_tumor_RNA-Seq_Expr_WashU_FPKM.tsv.gz	166b67f883d2b0e02c5e41531073aa2b
washu-luad-xcell	washu-luad-xcell-LUAD_xCell.txt.gz	d0859cf45cd4fb78a248eb6b2c47a8e3
washu-ov-cibersort	washu-ov-cibersort-CIBERSORT.Output_Abs_OV.txt.gz	639edca053179a900fc5d5055930ed1b
washu-ov-CNV	washu-ov-CNV-OV.gene_level.from_seg.filtered.tsv.gz	37effee078ad395cdacdb05a36f6013c
washu-ov-mapping	washu-ov-mapping-gencode.v22.annotation.gtf.gz	291330bdcff1094bc4d5645de35e0871
washu-ov-somatic_mutation	washu-ov-somatic_mutation-OV_prospective.dnp.annotated.exonic.addrecovercases.maf.gz	ea8b6e60c8fa9ed1ce79f2ad9321100b
washu-ov-transcriptomics	washu-ov-transcriptomics-OV_tumor_RNA-Seq_Expr_WashU_FPKM.tsv.gz	7c87400d2d10da7dcceb40cfa9ad2c96
washu-ov-xcell	washu-ov-xcell-OV_xCell.txt.gz	381bfed354302474aad41ed742e0c140
washu-pdac-cibersort	washu-pdac-cibersort-CIBERSORT.Output_Abs_PDA.txt.gz	53bcee70903440461641514d7b6b9ee7
washu-pdac-CNV	washu-pdac-CNV-PDA.gene_level.from_seg.filtered.tsv.gz	3016d0aa90a0473f817f7e6602df58cc
washu-pdac-mapping	washu-pdac-mapping-gencode.v22.annotation.gtf.gz	291330bdcff1094bc4d5645de35e0871
washu-pdac-mature_miRNA	washu-pdac-mature_miRNA-PDAC_mature_miRNA_combined.tsv.gz	8ab951aca3c0547f179eac9034ada1d8
washu-pdac-precursor_miRNA	washu-pdac-precursor_miRNA-PDAC_precursor_miRNA_combined.tsv.gz	128951a5086c68bd6728d7149bb0cc6a
washu-pdac-somatic_mutation	washu-pdac-somatic_mutation-PDA_discovery.dnp.annotated.exonic.maf.gz	491311a983493459d7e4d1d58540ba96
washu-pdac-total_miRNA	washu-pdac-total_miRNA-PDAC_total_miRNA_combined.tsv.gz	ff8f5648216c90d694a0834ebd9d3b4b
washu-pdac-transcriptomics	washu-pdac-transcriptomics-PDA_NAT_RNA-Seq_Expr_WashU_FPKM.tsv.gz	1fce377e84dd36f347196f0eb9bff340
washu-pdac-transcriptomics	washu-pdac-transcriptomics-PDA_tumor_RNA-Seq_Expr_WashU_FPKM.tsv.gz	cbdd73aa815ae348c6ba8e69642208fe
washu-pdac-xcell	washu-pdac-xcell-PDA_xCell.txt.gz	5db8e472c426b61e4b434d5a469761eb
washu-ucec-cibersort	washu-ucec-cibersort-CIBERSORT.Output_Abs_EC.txt.gz	d401b263261bcf2d94cc99f8e1e50e00
washu-ucec-CNV	washu-ucec-CNV-UCEC.gene_level.from_seg.filtered.tsv.gz	ea5fc85585aa84b8f5ecd21540f1f4bc
washu-ucec-mapping	washu-ucec-mapping-gencode.v22.annotation.gtf.gz	291330bdcff1094bc4d5645de35e0871
washu-ucec-mature_miRNA	washu-ucec-mature_miRNA-UCEC_mature_miRNA_combined.tsv.gz	1d6cc274ce0a0cfbd8d80cf299e96e10
washu-ucec-precursor_miRNA	washu-ucec-precursor_miRNA-UCEC_precursor_miRNA_combined.tsv.gz	c1feea834445e291c4315cbe446cdd7a
washu-ucec-somatic_mutation	washu-ucec-somatic_mutation-EC_discovery.dnp.annotated.exonic.maf.gz	18080d72fbd2851c55ee38a0f4127462
washu-ucec-total_miRNA	washu-ucec-total_miRNA-UCEC_total_miRNA_combined.tsv.gz	f203c6023639bef855122cdc86100337
washu-ucec-transcriptomics	washu-ucec-transcriptomics-EC_NAT_RNA-Seq_Expr_WashU_FPKM.tsv.gz	e0107c4af3c3df206c68c7c12e66572f
washu-ucec-transcriptomics	washu-ucec-transcriptomics-EC_tumor_RNA-Seq_Expr_WashU_FPKM.tsv.gz	6d6a9cc3753a0c5615e11ea045479326
washu-ucec-xcell	washu-ucec-xcell-EC_xCell.txt.gz	546baa1e39b0447190873fe12865968a
bcm-ccrcc-phosphoproteomics	bcm-ccrcc-phosphoproteomics-CCRCC_phospho_site_abundance_log2_reference_intensity_normalized_Normal.txt.gz	41afdaa57bfef0065b5d8e2e8d762c8d
bcm-ccrcc-miRNA	bcm-ccrcc-miRNA-ccRCC_miRNAseq_mature_miRNA_RPM_log2_Tumor.txt.gz	26bbc28c75d72508bb4674e46d957d36
bcm-ccrcc-miRNA	bcm-ccrcc-miRNA-ccRCC_miRNAseq_mature_miRNA_RPM_log2_Normal.txt.gz	d9c289193e66bf22e5556bdbf0f810f0
bcm-ccrcc-mapping	bcm-ccrcc-mapping-gencode.v34.basic.annotation-mapping.txt.gz	3b8ddac3ab238610bae6f759fd404c17
bcm-ccrcc-CNV	bcm-ccrcc-CNV-ccRCC_WES_CNV_gene_ratio_log2.txt.gz	c7055ca8c435cdd527606b9a10b21fc0
bcm-ccrcc-circular_RNA	bcm-ccrcc-circular_RNA-CCRCC-circRNA_rsem_tumor_normal_UQ_log2(x+1)_BCM.txt.gz	56b6ea60f24f2b1a8e5b2c0cdc2111e4
bcm-brca-transcriptomics	bcm-brca-transcriptomics-BRCA-gene_RSEM_tumor_normal_UQ_log2(x+1)_BCM.txt.gz	e4de5faf4bdc233d6b20206fa8274ed1
bcm-brca-proteomics	bcm-brca-proteomics-BRCA_proteomics_gene_abundance_log2_reference_intensity_normalized_Tumor.txt.gz	a74586b63f55f0730f16adc0b32e41b8
bcm-brca-phosphoproteomics	bcm-brca-phosphoproteomics-BRCA_phospho_site_abundance_log2_reference_intensity_normalized_Tumor.txt	43190f63b42ee64d3a82e4bd7a08d30f
bcm-brca-miRNA	bcm-brca-miRNA-BRCA_miRNAseq_mature_miRNA_RPM_log2_Tumor.txt.gz	f671185417752dedddda4e66b679fcfe
bcm-brca-mapping	bcm-brca-mapping-gencode.v34.basic.annotation-mapping.txt.gz	3b8ddac3ab238610bae6f759fd404c17
bcm-brca-CNV	bcm-brca-CNV-BRCA_WES_CNV_gene_ratio_log2.txt.gz	fdcf617e2fc60e2359b74b1a9ba3cde7
bcm-ccrcc-phosphoproteomics	bcm-ccrcc-phosphoproteomics-CCRCC_phospho_site_abundance_log2_reference_intensity_normalized_Tumor.txt	bdcb12abfc7e3c730c6102c7443e8880
bcm-ccrcc-proteomics	bcm-ccrcc-proteomics-CCRCC_proteomics_gene_abundance_log2_reference_intensity_normalized_Normal.txt.gz	2d30cbea85c1f6152012cf6099dc9209
bcm-ccrcc-proteomics	bcm-ccrcc-proteomics-CCRCC_proteomics_gene_abundance_log2_reference_intensity_normalized_Tumor.txt.gz	264d093f48ba9662bd56b9b19d9af73b
bcm-ccrcc-transcriptomics	bcm-ccrcc-transcriptomics-CCRCC-gene_rsem_removed_circRNA_tumor_normal_UQ_log2(x+1)_BCM.txt.gz	a799ffebbfadff815afa5f8d9596e230
bcm-coad-CNV	bcm-coad-CNV-COAD_WES_CNV_gene_ratio_log2.txt.gz	7e661d470c1a9edc1d0148fb90f6c850
bcm-coad-mapping	bcm-coad-mapping-gencode.v34.basic.annotation-mapping.txt.gz	e6fbb5ea574d812dadc5895250ac3bd7
bcm-coad-miRNA	bcm-coad-miRNA-COAD_miRNAseq_mature_miRNA_RPM_log2_Tumor.txt.gz	9008f390fdc401dfb70c597241085e63
bcm-coad-phosphoproteomics	bcm-coad-phosphoproteomics-COAD_phospho_site_abundance_log2_reference_intensity_normalized_Normal.txt.gz	1abe28c75460fde3a9b71a89136cf745
bcm-coad-phosphoproteomics	bcm-coad-phosphoproteomics-COAD_phospho_site_abundance_log2_reference_intensity_normalized_Tumor.txt	d2c5abbbd39978749c41281b41fc9775
bcm-coad-proteomics	bcm-coad-proteomics-COAD_proteomics_gene_abundance_log2_reference_intensity_normalized_Normal.txt.gz	1f08c3e492ece7208178ece5d83960b2
bcm-coad-proteomics	bcm-coad-proteomics-COAD_proteomics_gene_abundance_log2_reference_intensity_normalized_Tumor.txt.gz	6a146072cbcbe64db8764b632c2e94ae
bcm-coad-transcriptomics	bcm-coad-transcriptomics-CRC-gene_RSEM_tumor_normal_UQ_log2(x+1)_BCM.txt.gz	ef362745740685122c81377fbd8fa770
